Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.97507,0.9769499982279695,0.97507,0.9751180375942052
Decision Tree,0.99831,0.9982977671773315,0.99831,0.9983030179863751
Random Forest,0.99825,0.998221365699817,0.99825,0.9982294325965414
XGBoost,0.99898,0.9989805017405066,0.99898,0.9989794262913724
